Outcome,Error rate,Correct Answer,Country,Estimate/Guess,Number of Records,Respondent code,Response Type,Topic
No answer given,No answer given,43,Indonesia,,1,404,3,Some secondary education
Over,Greater than 50%,43,Indonesia,70,1,405,1,Some secondary education
No answer given,No answer given,43,Indonesia,,1,406,3,Some secondary education
Under,Greater than 50%,43,Indonesia,10,1,407,1,Some secondary education
No answer given,No answer given,43,Indonesia,,1,408,3,Some secondary education
No answer given,No answer given,43,Indonesia,,1,409,2,Some secondary education
No answer given,No answer given,43,Indonesia,,1,410,2,Some secondary education
No answer given,No answer given,43,Indonesia,,1,411,2,Some secondary education
Under,5 to 10%,43,Indonesia,40,1,412,1,Some secondary education
No answer given,No answer given,43,Indonesia,,1,413,2,Some secondary education
No answer given,No answer given,43,Indonesia,,1,414,2,Some secondary education
No answer given,No answer given,43,Indonesia,,1,415,2,Some secondary education
No answer given,No answer given,43,Indonesia,,1,416,2,Some secondary education
Over,Greater than 50%,43,Indonesia,70,1,417,1,Some secondary education
Over,Greater than 50%,43,Indonesia,80,1,418,1,Some secondary education
No answer given,No answer given,43,Indonesia,,1,419,3,Some secondary education
No answer given,No answer given,43,Indonesia,,1,420,2,Some secondary education
No answer given,No answer given,43,Indonesia,,1,421,2,Some secondary education
No answer given,No answer given,43,Indonesia,,1,422,2,Some secondary education
No answer given,No answer given,10,Senegal,,1,501,2,Some secondary education
No answer given,No answer given,10,Senegal,,1,502,2,Some secondary education
Over,Greater than 50%,10,Senegal,68,1,503,1,Some secondary education
Over,Greater than 50%,10,Senegal,55,1,504,1,Some secondary education
Over,Greater than 50%,10,Senegal,40,1,505,1,Some secondary education
No answer given,No answer given,10,Senegal,,1,506,2,Some secondary education
Over,Greater than 50%,10,Senegal,50,1,507,1,Some secondary education
Over,Greater than 50%,10,Senegal,25,1,508,1,Some secondary education
No answer given,No answer given,10,Senegal,,1,509,2,Some secondary education
No answer given,No answer given,10,Senegal,,1,510,3,Some secondary education
No answer given,No answer given,10,Senegal,,1,511,2,Some secondary education
No answer given,No answer given,10,Senegal,,1,512,2,Some secondary education
No answer given,No answer given,10,Senegal,,1,513,2,Some secondary education
No answer given,No answer given,10,Senegal,,1,514,2,Some secondary education
No answer given,No answer given,10,Senegal,,1,515,2,Some secondary education
No answer given,No answer given,10,Senegal,,1,516,3,Some secondary education
No answer given,No answer given,10,Senegal,,1,517,2,Some secondary education
No answer given,No answer given,10,Senegal,,1,518,3,Some secondary education
No answer given,No answer given,10,Senegal,,1,519,2,Some secondary education
No answer given,No answer given,10,Senegal,,1,520,2,Some secondary education
Over,Greater than 50%,10,Senegal,24,1,521,1,Some secondary education
No answer given,No answer given,10,Senegal,,1,522,2,Some secondary education
Under,Greater than 50%,64,Colombia,5,1,101,2,Maternal mortality rate in 2015
Under,25 to 50%,64,Colombia,35,1,102,2,Maternal mortality rate in 2015
Under,Greater than 50%,64,Colombia,5,1,103,1,Maternal mortality rate in 2015
Under,Greater than 50%,64,Colombia,7,1,104,2,Maternal mortality rate in 2015
No answer given,No answer given,64,Colombia,,1,105,2,Maternal mortality rate in 2015
Under,Greater than 50%,64,Colombia,15,1,106,3,Maternal mortality rate in 2015
Under,10 to 25%,64,Colombia,50,1,107,3,Maternal mortality rate in 2015
Over,25 to 50%,64,Colombia,80,1,108,2,Maternal mortality rate in 2015
Under,Greater than 50%,64,Colombia,15,1,109,2,Maternal mortality rate in 2015
Under,Greater than 50%,64,Colombia,5,1,110,2,Maternal mortality rate in 2015
Under,Greater than 50%,64,Colombia,10,1,111,3,Maternal mortality rate in 2015
Over,10 to 25%,64,Colombia,71,1,112,1,Maternal mortality rate in 2015
No answer given,No answer given,64,Colombia,,1,113,2,Maternal mortality rate in 2015
No answer given,No answer given,64,Colombia,,1,114,3,Maternal mortality rate in 2015
Under,Greater than 50%,64,Colombia,10,1,115,3,Maternal mortality rate in 2015
Under,Greater than 50%,64,Colombia,2,1,116,2,Maternal mortality rate in 2015
Under,Greater than 50%,64,Colombia,30,1,117,2,Maternal mortality rate in 2015
Under,Greater than 50%,64,Colombia,10,1,118,2,Maternal mortality rate in 2015
No answer given,No answer given,64,Colombia,,1,119,2,Maternal mortality rate in 2015
No answer given,No answer given,64,Colombia,,1,120,2,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,301,2,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,302,2,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,303,2,Maternal mortality rate in 2015
Under,Greater than 50%,174,India,79,1,304,1,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,305,2,Maternal mortality rate in 2015
Under,Greater than 50%,174,India,20,1,306,2,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,307,2,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,308,2,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,309,2,Maternal mortality rate in 2015
Over,25 to 50%,174,India,258,1,310,2,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,311,2,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,312,2,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,313,2,Maternal mortality rate in 2015
Under,Greater than 50%,174,India,5,1,314,2,Maternal mortality rate in 2015
Over,Greater than 50%,174,India,265,1,315,1,Maternal mortality rate in 2015
Over,Greater than 50%,174,India,265,1,316,2,Maternal mortality rate in 2015
Over,10 to 25%,174,India,200,1,317,3,Maternal mortality rate in 2015
Over,25 to 50%,174,India,260,1,318,3,Maternal mortality rate in 2015
Over,Greater than 50%,174,India,265,1,319,1,Maternal mortality rate in 2015
Over,25 to 50%,174,India,250,1,320,3,Maternal mortality rate in 2015
Over,Greater than 50%,174,India,263,1,321,2,Maternal mortality rate in 2015
Under,Greater than 50%,174,India,2,1,322,1,Maternal mortality rate in 2015
Under,Greater than 50%,174,India,40,1,323,1,Maternal mortality rate in 2015
Under,Greater than 50%,174,India,5,1,324,1,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,325,2,Maternal mortality rate in 2015
No answer given,No answer given,174,India,,1,326,2,Maternal mortality rate in 2015
Under,Greater than 50%,510,Kenya,200,1,201,1,Maternal mortality rate in 2015
Under,Greater than 50%,510,Kenya,25,1,202,2,Maternal mortality rate in 2015
Under,Greater than 50%,510,Kenya,100,1,203,1,Maternal mortality rate in 2015
Over,Greater than 50%,510,Kenya,10000,1,204,2,Maternal mortality rate in 2015
Under,Greater than 50%,510,Kenya,20,1,205,2,Maternal mortality rate in 2015
Correct,Less than 5%,510,Kenya,510,1,206,1,Maternal mortality rate in 2015
No answer given,No answer given,510,Kenya,,1,207,2,Maternal mortality rate in 2015
No answer given,No answer given,510,Kenya,,1,208,2,Maternal mortality rate in 2015
Over,Greater than 50%,510,Kenya,10000,1,209,2,Maternal mortality rate in 2015
Under,Greater than 50%,510,Kenya,44,1,210,2,Maternal mortality rate in 2015
No answer given,No answer given,510,Kenya,,1,211,2,Maternal mortality rate in 2015
Under,Greater than 50%,510,Kenya,12,1,212,1,Maternal mortality rate in 2015
Under,Greater than 50%,510,Kenya,20,1,213,2,Maternal mortality rate in 2015
No answer given,No answer given,510,Kenya,,1,214,3,Maternal mortality rate in 2015
No answer given,No answer given,510,Kenya,,1,215,2,Maternal mortality rate in 2015
No answer given,No answer given,510,Kenya,,1,216,2,Maternal mortality rate in 2015
No answer given,No answer given,510,Kenya,,1,217,2,Maternal mortality rate in 2015
No answer given,No answer given,510,Kenya,,1,218,2,Maternal mortality rate in 2015
Under,Greater than 50%,510,Kenya,9,1,219,2,Maternal mortality rate in 2015
No answer given,No answer given,510,Kenya,,1,220,4,Maternal mortality rate in 2015
Under,Greater than 50%,510,Kenya,45,1,221,2,Maternal mortality rate in 2015
No answer given,No answer given,510,Kenya,,1,222,2,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,401,2,Maternal mortality rate in 2015
Under,Greater than 50%,126,Indonesia,1,1,402,1,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,403,2,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,404,2,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,405,2,Maternal mortality rate in 2015
Under,Greater than 50%,126,Indonesia,30,1,406,1,Maternal mortality rate in 2015
Under,Greater than 50%,126,Indonesia,3,1,407,2,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,408,2,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,409,2,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,410,2,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,411,2,Maternal mortality rate in 2015
Under,Greater than 50%,126,Indonesia,10,1,412,1,Maternal mortality rate in 2015
Under,Greater than 50%,126,Indonesia,4,1,413,1,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,414,2,Maternal mortality rate in 2015
Under,Greater than 50%,126,Indonesia,15,1,415,1,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,416,2,Maternal mortality rate in 2015
Under,Greater than 50%,126,Indonesia,60,1,417,2,Maternal mortality rate in 2015
Under,Greater than 50%,126,Indonesia,3,1,418,1,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,419,2,Maternal mortality rate in 2015
Under,Greater than 50%,126,Indonesia,10,1,420,1,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,421,2,Maternal mortality rate in 2015
No answer given,No answer given,126,Indonesia,,1,422,2,Maternal mortality rate in 2015
Under,Greater than 50%,315,Senegal,2,1,501,1,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,502,2,Maternal mortality rate in 2015
Under,Greater than 50%,315,Senegal,3,1,503,1,Maternal mortality rate in 2015
Under,Greater than 50%,315,Senegal,10,1,504,1,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,505,2,Maternal mortality rate in 2015
Under,Greater than 50%,315,Senegal,10,1,506,1,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,507,2,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,508,3,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,509,2,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,510,3,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,511,2,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,512,2,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,513,2,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,514,2,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,515,2,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,516,3,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,517,2,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,518,3,Maternal mortality rate in 2015
Under,Greater than 50%,315,Senegal,2,1,519,1,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,520,2,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,521,3,Maternal mortality rate in 2015
No answer given,No answer given,315,Senegal,,1,522,2,Maternal mortality rate in 2015
