years since ipo,Company Name (Full),Company Name,Growth Group,Net Income (2008),Number of Records,Revenue (2008),Revenue (Inflation Adjusted),Segment,Ticker,Year Founded,Year
2,"Citrix Systems, Inc.",Citrix,Hot Company,178.28,1,1583.35,0.4696,Security,CTXS,1989,1991
3,Symantec Corporation,Symantec,Hot Company,463.85,1,5874.42,1.7523,Security,SYMC,1982,1985
3,"Citrix Systems, Inc.",Citrix,Hot Company,178.28,1,1583.35,2.7375,Security,CTXS,1989,1992
4,Symantec Corporation,Symantec,Hot Company,463.85,1,5874.42,11.834,Security,SYMC,1982,1986
4,"Citrix Systems, Inc.",Citrix,Hot Company,178.28,1,1583.35,7.5911,Security,CTXS,1989,1993
5,Symantec Corporation,Symantec,Hot Company,463.85,1,5874.42,26.741,Security,SYMC,1982,1987
5,"Citrix Systems, Inc.",Citrix,Hot Company,178.28,1,1583.35,14.4215,Security,CTXS,1989,1994
6,Symantec Corporation,Symantec,Hot Company,463.85,1,5874.42,,Security,SYMC,1982,1988
6,"Citrix Systems, Inc.",Citrix,Hot Company,178.28,1,1583.35,20.3952,Security,CTXS,1989,1995
7,Symantec Corporation,Symantec,Hot Company,463.85,1,5874.42,68.8,Security,SYMC,1982,1989
7,"Citrix Systems, Inc.",Citrix,Hot Company,178.28,1,1583.35,60.52,Security,CTXS,1989,1996
8,Symantec Corporation,Symantec,Hot Company,463.85,1,5874.42,81.5,Security,SYMC,1982,1990
8,"Citrix Systems, Inc.",Citrix,Hot Company,178.28,1,1583.35,166.16,Security,CTXS,1989,1997
0,Websense Inc.,Websense,Hot Company,-29.87,1,295.86,0,Security,WBSN,1994,1994
1,Websense Inc.,Websense,Hot Company,-29.87,1,295.86,1.2348,Security,WBSN,1994,1995
2,Websense Inc.,Websense,Hot Company,-29.87,1,295.86,3.5224,Security,WBSN,1994,1996
3,Websense Inc.,Websense,Hot Company,-29.87,1,295.86,6.7268,Security,WBSN,1994,1997
4,Websense Inc.,Websense,Hot Company,-29.87,1,295.86,9.1331,Security,WBSN,1994,1998
5,Websense Inc.,Websense,Hot Company,-29.87,1,295.86,11.0682,Security,WBSN,1994,1999
6,Websense Inc.,Websense,Hot Company,-29.87,1,295.86,21.576,Security,WBSN,1994,2000
7,Websense Inc.,Websense,Hot Company,-29.87,1,295.86,43.676,Security,WBSN,1994,2001
8,Websense Inc.,Websense,Hot Company,-29.87,1,295.86,83.3,Security,WBSN,1994,2002
0,"i2 Technologies, Inc.",i2,Hot Company,106.66,1,255.81,0,Supply Chain,ITWO,1989,1989
1,"i2 Technologies, Inc.",i2,Hot Company,106.66,1,255.81,,Supply Chain,ITWO,1989,1990
2,"i2 Technologies, Inc.",i2,Hot Company,106.66,1,255.81,1.716,Supply Chain,ITWO,1989,1991
3,"i2 Technologies, Inc.",i2,Hot Company,106.66,1,255.81,2.888,Supply Chain,ITWO,1989,1992
4,"i2 Technologies, Inc.",i2,Hot Company,106.66,1,255.81,6.762,Supply Chain,ITWO,1989,1993
5,"i2 Technologies, Inc.",i2,Hot Company,106.66,1,255.81,16.445,Supply Chain,ITWO,1989,1994
6,"i2 Technologies, Inc.",i2,Hot Company,106.66,1,255.81,36.26,Supply Chain,ITWO,1989,1995
7,"i2 Technologies, Inc.",i2,Hot Company,106.66,1,255.81,138.04,Supply Chain,ITWO,1989,1996
0,"Manhattan Associates, Inc.",Manhattan Assoc,Hot Company,22.8,1,337.2,0,Supply Chain,MANH,1990,1990
1,"Manhattan Associates, Inc.",Manhattan Assoc,Hot Company,22.8,1,337.2,,Supply Chain,MANH,1990,1991
2,"Manhattan Associates, Inc.",Manhattan Assoc,Hot Company,22.8,1,337.2,,Supply Chain,MANH,1990,1992
3,"Manhattan Associates, Inc.",Manhattan Assoc,Hot Company,22.8,1,337.2,4.8642,Supply Chain,MANH,1990,1993
4,"Manhattan Associates, Inc.",Manhattan Assoc,Hot Company,22.8,1,337.2,9.3122,Supply Chain,MANH,1990,1994
5,"Manhattan Associates, Inc.",Manhattan Assoc,Hot Company,22.8,1,337.2,15.7094,Supply Chain,MANH,1990,1995
6,"Manhattan Associates, Inc.",Manhattan Assoc,Hot Company,22.8,1,337.2,19.584,Supply Chain,MANH,1990,1996
7,"Manhattan Associates, Inc.",Manhattan Assoc,Hot Company,22.8,1,337.2,43.4924,Supply Chain,MANH,1990,1997
8,"Manhattan Associates, Inc.",Manhattan Assoc,Hot Company,22.8,1,337.2,81.84,Supply Chain,MANH,1990,1998
0,BMC Software Inc.,BMC,Hot Company,313.6,1,1731.6,0,Systems Management,BMC,1980,1980
0,"CommVault Systems, Inc.",CommVault,Hot Company,20.8,1,198.3,0,Systems Management,CVLT,1996,1996
1,BMC Software Inc.,BMC,Hot Company,313.6,1,1731.6,,Systems Management,BMC,1980,1981
1,"CommVault Systems, Inc.",CommVault,Hot Company,20.8,1,198.3,,Systems Management,CVLT,1996,1997
2,BMC Software Inc.,BMC,Hot Company,313.6,1,1731.6,,Systems Management,BMC,1980,1982
2,"CommVault Systems, Inc.",CommVault,Hot Company,20.8,1,198.3,,Systems Management,CVLT,1996,1998
3,BMC Software Inc.,BMC,Hot Company,313.6,1,1731.6,,Systems Management,BMC,1980,1983
3,"CommVault Systems, Inc.",CommVault,Hot Company,20.8,1,198.3,,Systems Management,CVLT,1996,1999
4,BMC Software Inc.,BMC,Hot Company,313.6,1,1731.6,11.89,Systems Management,BMC,1980,1984
4,"CommVault Systems, Inc.",CommVault,Hot Company,20.8,1,198.3,,Systems Management,CVLT,1996,2000
5,BMC Software Inc.,BMC,Hot Company,313.6,1,1731.6,18.414,Systems Management,BMC,1980,1985
5,"CommVault Systems, Inc.",CommVault,Hot Company,20.8,1,198.3,34.16,Systems Management,CVLT,1996,2001
6,BMC Software Inc.,BMC,Hot Company,313.6,1,1731.6,34.92,Systems Management,BMC,1980,1986
6,"CommVault Systems, Inc.",CommVault,Hot Company,20.8,1,198.3,35.7,Systems Management,CVLT,1996,2002
7,BMC Software Inc.,BMC,Hot Company,313.6,1,1731.6,52.36,Systems Management,BMC,1980,1987
7,"CommVault Systems, Inc.",CommVault,Hot Company,20.8,1,198.3,50.172,Systems Management,CVLT,1996,2003
8,BMC Software Inc.,BMC,Hot Company,313.6,1,1731.6,74.88,Systems Management,BMC,1980,1988
8,"CommVault Systems, Inc.",CommVault,Hot Company,20.8,1,198.3,69.156,Systems Management,CVLT,1996,2004
9,BMC Software Inc.,BMC,Hot Company,313.6,1,1731.6,103.2,Systems Management,BMC,1980,1989
9,"CommVault Systems, Inc.",CommVault,Hot Company,20.8,1,198.3,90.034,Systems Management,CVLT,1996,2005
10,"CommVault Systems, Inc.",CommVault,Hot Company,20.8,1,198.3,117.165,Systems Management,CVLT,1996,2006
0,CA Inc.,CA,Hot Company,500,1,4277,0,Systems Management,CA,1974,1974
1,CA Inc.,CA,Hot Company,500,1,4277,,Systems Management,CA,1974,1975
2,CA Inc.,CA,Hot Company,500,1,4277,,Systems Management,CA,1974,1976
3,CA Inc.,CA,Hot Company,500,1,4277,4.212,Systems Management,CA,1974,1977
4,CA Inc.,CA,Hot Company,500,1,4277,10.464,Systems Management,CA,1974,1978
5,CA Inc.,CA,Hot Company,500,1,4277,17.58,Systems Management,CA,1974,1979
6,CA Inc.,CA,Hot Company,500,1,4277,22.704,Systems Management,CA,1974,1980
7,CA Inc.,CA,Hot Company,500,1,4277,43.29,Systems Management,CA,1974,1981
8,CA Inc.,CA,Hot Company,500,1,4277,55,Systems Management,CA,1974,1982
9,CA Inc.,CA,Hot Company,500,1,4277,70.29,Systems Management,CA,1974,1983
10,CA Inc.,CA,Hot Company,500,1,4277,98.8731,Systems Management,CA,1974,1984
0,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,0,Systems Management,CPWR,1973,1973
1,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,,Systems Management,CPWR,1973,1974
2,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,,Systems Management,CPWR,1973,1975
3,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,,Systems Management,CPWR,1973,1976
4,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,,Systems Management,CPWR,1973,1977
5,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,,Systems Management,CPWR,1973,1978
6,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,,Systems Management,CPWR,1973,1979
7,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,,Systems Management,CPWR,1973,1980
8,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,,Systems Management,CPWR,1973,1981
9,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,,Systems Management,CPWR,1973,1982
10,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,,Systems Management,CPWR,1973,1983
11,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,56.588,Systems Management,CPWR,1973,1984
12,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,73.2387,Systems Management,CPWR,1973,1985
13,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,96.1573,Systems Management,CPWR,1973,1986
14,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,124.2015,Systems Management,CPWR,1973,1987
15,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,160.2,Systems Management,CPWR,1973,1988
16,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,189.2,Systems Management,CPWR,1973,1989
17,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,207.01,Systems Management,CPWR,1973,1990
18,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,219.96,Systems Management,CPWR,1973,1991
19,Compuware Corporation,Compuware,Hot Company,134.39,1,1229.61,266,Systems Management,CPWR,1973,1992
0,Intuit Inc.,Intuit,Hot Company,450.75,1,3070.97,0,Vertical Application,INTU,1983,1983
1,Intuit Inc.,Intuit,Hot Company,450.75,1,3070.97,,Vertical Application,INTU,1983,1984
2,Intuit Inc.,Intuit,Hot Company,450.75,1,3070.97,,Vertical Application,INTU,1983,1985
3,Intuit Inc.,Intuit,Hot Company,450.75,1,3070.97,,Vertical Application,INTU,1983,1986
4,Intuit Inc.,Intuit,Hot Company,450.75,1,3070.97,,Vertical Application,INTU,1983,1987
5,Intuit Inc.,Intuit,Hot Company,450.75,1,3070.97,10.8,Vertical Application,INTU,1983,1988
6,Intuit Inc.,Intuit,Hot Company,450.75,1,3070.97,32.164,Vertical Application,INTU,1983,1989
7,Intuit Inc.,Intuit,Hot Company,450.75,1,3070.97,53.79,Vertical Application,INTU,1983,1990
8,Intuit Inc.,Intuit,Hot Company,450.75,1,3070.97,69.42,Vertical Application,INTU,1983,1991
9,Intuit Inc.,Intuit,Hot Company,450.75,1,3070.97,127.376,Vertical Application,INTU,1983,1992
10,Intuit Inc.,Intuit,Hot Company,450.75,1,3070.97,195.216,Vertical Application,INTU,1983,1993
0,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,0,Vertical Application,JDAS,1985,1985
0,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,0,Vertical Application,LFT,1996,1996
1,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,,Vertical Application,JDAS,1985,1986
1,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,,Vertical Application,LFT,1996,1997
2,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,,Vertical Application,JDAS,1985,1987
2,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,,Vertical Application,LFT,1996,1998
3,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,,Vertical Application,JDAS,1985,1988
3,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,,Vertical Application,LFT,1996,1999
4,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,,Vertical Application,JDAS,1985,1989
4,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,,Vertical Application,LFT,1996,2000
5,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,,Vertical Application,JDAS,1985,1990
5,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,,Vertical Application,LFT,1996,2001
6,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,15.0524,Vertical Application,JDAS,1985,1991
6,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,,Vertical Application,LFT,1996,2002
7,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,24.2805,Vertical Application,JDAS,1985,1992
7,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,5.65,Vertical Application,LFT,1996,2003
8,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,29.8719,Vertical Application,JDAS,1985,1993
8,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,17.176,Vertical Application,LFT,1996,2004
9,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,34.0755,Vertical Application,JDAS,1985,1994
9,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,27.25,Vertical Application,LFT,1996,2005
10,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,42.1176,Vertical Application,JDAS,1985,1995
10,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,45.689,Vertical Application,LFT,1996,2006
11,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,65.008,Vertical Application,JDAS,1985,1996
11,Longtop Financial Technologies Limited,LongTop,Hot Company,4.22,1,65.92,69.368,Vertical Application,LFT,1996,2007
12,"JDA Software Group, Inc.",JDA,Hot Company,6.23,1,390.33,122.878,Vertical Application,JDAS,1985,1997
0,Mentor Graphics Corporation,Mentor Graphics,Rocket Ship,28.77,1,879.73,0,CAD / EDA,MENT,1981,1981
1,Mentor Graphics Corporation,Mentor Graphics,Rocket Ship,28.77,1,879.73,3.74,CAD / EDA,MENT,1981,1982
2,Mentor Graphics Corporation,Mentor Graphics,Rocket Ship,28.77,1,879.73,30.246,CAD / EDA,MENT,1981,1983
3,Mentor Graphics Corporation,Mentor Graphics,Rocket Ship,28.77,1,879.73,198.44,CAD / EDA,MENT,1981,1984
4,Mentor Graphics Corporation,Mentor Graphics,Rocket Ship,28.77,1,879.73,270.864,CAD / EDA,MENT,1981,1985
5,Mentor Graphics Corporation,Mentor Graphics,Rocket Ship,28.77,1,879.73,336.59,CAD / EDA,MENT,1981,1986
6,Mentor Graphics Corporation,Mentor Graphics,Rocket Ship,28.77,1,879.73,415.14,CAD / EDA,MENT,1981,1987
0,"Autodesk, Inc.",Autodesk,Rocket Ship,356.2,1,2171.9,0,CAD / EDA,ADSK,1982,1982
1,"Autodesk, Inc.",Autodesk,Rocket Ship,356.2,1,2171.9,0.0319,CAD / EDA,ADSK,1982,1983
2,"Autodesk, Inc.",Autodesk,Rocket Ship,356.2,1,2171.9,2.255,CAD / EDA,ADSK,1982,1984
3,"Autodesk, Inc.",Autodesk,Rocket Ship,356.2,1,2171.9,19.404,CAD / EDA,ADSK,1982,1985
4,"Autodesk, Inc.",Autodesk,Rocket Ship,356.2,1,2171.9,52.38,CAD / EDA,ADSK,1982,1986
5,"Autodesk, Inc.",Autodesk,Rocket Ship,356.2,1,2171.9,128.4609,CAD / EDA,ADSK,1982,1987
6,"Autodesk, Inc.",Autodesk,Rocket Ship,356.2,1,2171.9,142.2,CAD / EDA,ADSK,1982,1988
0,"Cadence Design Systems, Inc.",Cadence,Rocket Ship,-1854.04,1,1038.61,1.6614,CAD / EDA,CDNS,1983,1983
0,"Synopsys, Inc.",Synopsys,Rocket Ship,189.98,1,1336.95,0,CAD / EDA,SNPS,1986,1986
1,"Cadence Design Systems, Inc.",Cadence,Rocket Ship,-1854.04,1,1038.61,11.685,CAD / EDA,CDNS,1983,1984
1,"Synopsys, Inc.",Synopsys,Rocket Ship,189.98,1,1336.95,0.2431,CAD / EDA,SNPS,1986,1987
2,"Cadence Design Systems, Inc.",Cadence,Rocket Ship,-1854.04,1,1038.61,23.76,CAD / EDA,CDNS,1983,1985
2,"Synopsys, Inc.",Synopsys,Rocket Ship,189.98,1,1336.95,1.746,CAD / EDA,SNPS,1986,1988
3,"Cadence Design Systems, Inc.",Cadence,Rocket Ship,-1854.04,1,1038.61,32.204,CAD / EDA,CDNS,1983,1986
3,"Synopsys, Inc.",Synopsys,Rocket Ship,189.98,1,1336.95,12.384,CAD / EDA,SNPS,1986,1989
4,"Cadence Design Systems, Inc.",Cadence,Rocket Ship,-1854.04,1,1038.61,44.88,CAD / EDA,CDNS,1983,1987
4,"Synopsys, Inc.",Synopsys,Rocket Ship,189.98,1,1336.95,35.86,CAD / EDA,SNPS,1986,1990
5,"Cadence Design Systems, Inc.",Cadence,Rocket Ship,-1854.04,1,1038.61,141.48,CAD / EDA,CDNS,1983,1988
5,"Synopsys, Inc.",Synopsys,Rocket Ship,189.98,1,1336.95,62.4,CAD / EDA,SNPS,1986,1991
6,"Synopsys, Inc.",Synopsys,Rocket Ship,189.98,1,1336.95,139.384,CAD / EDA,SNPS,1986,1992
0,"Verisign, Inc.",Verisign,Rocket Ship,88.3,1,961.74,0.5348,Communications,VRSN,1995,1995
1,"Verisign, Inc.",Verisign,Rocket Ship,88.3,1,961.74,1.8442,Communications,VRSN,1995,1996
2,"Verisign, Inc.",Verisign,Rocket Ship,88.3,1,961.74,17.897,Communications,VRSN,1995,1997
3,"Verisign, Inc.",Verisign,Rocket Ship,88.3,1,961.74,51.3876,Communications,VRSN,1995,1998
4,"Verisign, Inc.",Verisign,Rocket Ship,88.3,1,961.74,108.5133,Communications,VRSN,1995,1999
0,Adobe Systems Inc.,Adobe,Rocket Ship,871.81,1,3579.89,0,Content Management,ADBE,1982,1982
0,"Interwoven, Inc.",Interwoven,Rocket Ship,32.05,1,260.29,0,Content Management,IWOV,1995,1995
1,Adobe Systems Inc.,Adobe,Rocket Ship,871.81,1,3579.89,,Content Management,ADBE,1982,1983
1,"Interwoven, Inc.",Interwoven,Rocket Ship,32.05,1,260.29,,Content Management,IWOV,1995,1996
2,Adobe Systems Inc.,Adobe,Rocket Ship,871.81,1,3579.89,4.51,Content Management,ADBE,1982,1984
2,"Interwoven, Inc.",Interwoven,Rocket Ship,32.05,1,260.29,0.2144,Content Management,IWOV,1995,1997
3,Adobe Systems Inc.,Adobe,Rocket Ship,871.81,1,3579.89,9.108,Content Management,ADBE,1982,1985
3,"Interwoven, Inc.",Interwoven,Rocket Ship,32.05,1,260.29,5.28,Content Management,IWOV,1995,1998
4,Adobe Systems Inc.,Adobe,Rocket Ship,871.81,1,3579.89,23.28,Content Management,ADBE,1982,1986
4,"Interwoven, Inc.",Interwoven,Rocket Ship,32.05,1,260.29,21.504,Content Management,IWOV,1995,1999
5,Adobe Systems Inc.,Adobe,Rocket Ship,871.81,1,3579.89,73.491,Content Management,ADBE,1982,1987
5,"Interwoven, Inc.",Interwoven,Rocket Ship,32.05,1,260.29,163.68,Content Management,IWOV,1995,2000
6,Adobe Systems Inc.,Adobe,Rocket Ship,871.81,1,3579.89,150.3,Content Management,ADBE,1982,1988
0,"salesforce.com, inc.",Salesforce,Rocket Ship,18.36,1,748.7,0,CRM,CRM,1999,1999
1,"salesforce.com, inc.",Salesforce,Rocket Ship,18.36,1,748.7,3.348,CRM,CRM,1999,2000
2,"salesforce.com, inc.",Salesforce,Rocket Ship,18.36,1,748.7,6.588,CRM,CRM,1999,2001
3,"salesforce.com, inc.",Salesforce,Rocket Ship,18.36,1,748.7,26.656,CRM,CRM,1999,2002
4,"salesforce.com, inc.",Salesforce,Rocket Ship,18.36,1,748.7,57.63,CRM,CRM,1999,2003
5,"salesforce.com, inc.",Salesforce,Rocket Ship,18.36,1,748.7,108.48,CRM,CRM,1999,2004
6,"salesforce.com, inc.",Salesforce,Rocket Ship,18.36,1,748.7,192.276,CRM,CRM,1999,2005
7,"salesforce.com, inc.",Salesforce,Rocket Ship,18.36,1,748.7,331.593,CRM,CRM,1999,2006
8,"salesforce.com, inc.",Salesforce,Rocket Ship,18.36,1,748.7,516.984,CRM,CRM,1999,2007
9,"salesforce.com, inc.",Salesforce,Rocket Ship,18.36,1,748.7,748.7,CRM,CRM,1999,2008
0,"Sybase, Inc.",Sybase,Rocket Ship,138.57,1,1131.93,0,Database,SY,1984,1984
1,"Sybase, Inc.",Sybase,Rocket Ship,138.57,1,1131.93,,Database,SY,1984,1985
2,"Sybase, Inc.",Sybase,Rocket Ship,138.57,1,1131.93,2.134,Database,SY,1984,1986
3,"Sybase, Inc.",Sybase,Rocket Ship,138.57,1,1131.93,11.22,Database,SY,1984,1987
4,"Sybase, Inc.",Sybase,Rocket Ship,138.57,1,1131.93,43.2,Database,SY,1984,1988
5,"Sybase, Inc.",Sybase,Rocket Ship,138.57,1,1131.93,98.556,Database,SY,1984,1989
6,"Sybase, Inc.",Sybase,Rocket Ship,138.57,1,1131.93,167.89,Database,SY,1984,1990
7,"Sybase, Inc.",Sybase,Rocket Ship,138.57,1,1131.93,248.82,Database,SY,1984,1991
8,"Sybase, Inc.",Sybase,Rocket Ship,138.57,1,1131.93,402.8,Database,SY,1984,1992
0,Activision Blizzard Inc,Activision,Rocket Ship,-107,1,3026,0,Entertainment,ATVI,1979,1979
0,"China Digital TV Holding Co., Ltd.",China Digital,Rocket Ship,33.82,1,55.45,4.181,Entertainment,STV,2004,2004
1,Activision Blizzard Inc,Activision,Rocket Ship,-107,1,3026,,Entertainment,ATVI,1979,1980
1,"China Digital TV Holding Co., Ltd.",China Digital,Rocket Ship,33.82,1,55.45,14.279,Entertainment,STV,2004,2005
2,Activision Blizzard Inc,Activision,Rocket Ship,-107,1,3026,14.508,Entertainment,ATVI,1979,1981
2,"China Digital TV Holding Co., Ltd.",China Digital,Rocket Ship,33.82,1,55.45,32.528,Entertainment,STV,2004,2006
3,Activision Blizzard Inc,Activision,Rocket Ship,-107,1,3026,145.2,Entertainment,ATVI,1979,1982
3,"China Digital TV Holding Co., Ltd.",China Digital,Rocket Ship,33.82,1,55.45,57.72,Entertainment,STV,2004,2007
4,Activision Blizzard Inc,Activision,Rocket Ship,-107,1,3026,336.54,Entertainment,ATVI,1979,1983
0,"RealNetworks, Inc.",RealNetworks,Rocket Ship,-243.88,1,604.81,0,Entertainment,RNWK,1994,1994
1,"RealNetworks, Inc.",RealNetworks,Rocket Ship,-243.88,1,604.81,2.52,Entertainment,RNWK,1994,1995
2,"RealNetworks, Inc.",RealNetworks,Rocket Ship,-243.88,1,604.81,19.04,Entertainment,RNWK,1994,1996
3,"RealNetworks, Inc.",RealNetworks,Rocket Ship,-243.88,1,604.81,48.642,Entertainment,RNWK,1994,1997
4,"RealNetworks, Inc.",RealNetworks,Rocket Ship,-243.88,1,604.81,87.516,Entertainment,RNWK,1994,1998
0,Electronic Arts Inc.,Electronic Arts,Rocket Ship,-454,1,3665,0,Entertainment,ERTS,1982,1982
0,"Take-Two Interactive Software, Inc.",Take-Two,Rocket Ship,97.1,1,1537.53,0,Entertainment,TTWO,1993,1993
1,Electronic Arts Inc.,Electronic Arts,Rocket Ship,-454,1,3665,,Entertainment,ERTS,1982,1983
1,"Take-Two Interactive Software, Inc.",Take-Two,Rocket Ship,97.1,1,1537.53,3.289,Entertainment,TTWO,1993,1994
2,Electronic Arts Inc.,Electronic Arts,Rocket Ship,-454,1,3665,,Entertainment,ERTS,1982,1984
2,"Take-Two Interactive Software, Inc.",Take-Two,Rocket Ship,97.1,1,1537.53,8.4,Entertainment,TTWO,1993,1995
3,Electronic Arts Inc.,Electronic Arts,Rocket Ship,-454,1,3665,22.176,Entertainment,ERTS,1982,1985
3,"Take-Two Interactive Software, Inc.",Take-Two,Rocket Ship,97.1,1,1537.53,15.096,Entertainment,TTWO,1993,1996
4,Electronic Arts Inc.,Electronic Arts,Rocket Ship,-454,1,3665,32.204,Entertainment,ERTS,1982,1986
4,"Take-Two Interactive Software, Inc.",Take-Two,Rocket Ship,97.1,1,1537.53,25.46,Entertainment,TTWO,1993,1997
5,Electronic Arts Inc.,Electronic Arts,Rocket Ship,-454,1,3665,56.1,Entertainment,ERTS,1982,1987
5,"Take-Two Interactive Software, Inc.",Take-Two,Rocket Ship,97.1,1,1537.53,252.12,Entertainment,TTWO,1993,1998
6,Electronic Arts Inc.,Electronic Arts,Rocket Ship,-454,1,3665,90,Entertainment,ERTS,1982,1988
7,Electronic Arts Inc.,Electronic Arts,Rocket Ship,-454,1,3665,109.22,Entertainment,ERTS,1982,1989
0,Taleo Corporation,Teleo,Rocket Ship,3.88,1,127.94,0,ERP,TLEO,1999,1999
1,Taleo Corporation,Teleo,Rocket Ship,3.88,1,127.94,2.7677,ERP,TLEO,1999,2000
2,Taleo Corporation,Teleo,Rocket Ship,3.88,1,127.94,15.3073,ERP,TLEO,1999,2001
3,Taleo Corporation,Teleo,Rocket Ship,3.88,1,127.94,33.7817,ERP,TLEO,1999,2002
4,Taleo Corporation,Teleo,Rocket Ship,3.88,1,127.94,49.3075,ERP,TLEO,1999,2003
5,Taleo Corporation,Teleo,Rocket Ship,3.88,1,127.94,66.2745,ERP,TLEO,1999,2004
6,Taleo Corporation,Teleo,Rocket Ship,3.88,1,127.94,85.456,ERP,TLEO,1999,2005
0,"Rackspace Hosting, Inc.",Rackspace,Rocket Ship,21.7,1,531.93,0,Network / Infrastructure/ EAI,RAX,1998,1998
1,"Rackspace Hosting, Inc.",Rackspace,Rocket Ship,21.7,1,531.93,,Network / Infrastructure/ EAI,RAX,1998,1999
2,"Rackspace Hosting, Inc.",Rackspace,Rocket Ship,21.7,1,531.93,,Network / Infrastructure/ EAI,RAX,1998,2000
3,"Rackspace Hosting, Inc.",Rackspace,Rocket Ship,21.7,1,531.93,,Network / Infrastructure/ EAI,RAX,1998,2001
4,"Rackspace Hosting, Inc.",Rackspace,Rocket Ship,21.7,1,531.93,,Network / Infrastructure/ EAI,RAX,1998,2002
5,"Rackspace Hosting, Inc.",Rackspace,Rocket Ship,21.7,1,531.93,63.9704,Network / Infrastructure/ EAI,RAX,1998,2003
6,"Rackspace Hosting, Inc.",Rackspace,Rocket Ship,21.7,1,531.93,98.0422,Network / Infrastructure/ EAI,RAX,1998,2004
7,"Rackspace Hosting, Inc.",Rackspace,Rocket Ship,21.7,1,531.93,151.2571,Network / Infrastructure/ EAI,RAX,1998,2005
8,"Rackspace Hosting, Inc.",Rackspace,Rocket Ship,21.7,1,531.93,239.6436,Network / Infrastructure/ EAI,RAX,1998,2006
9,"Rackspace Hosting, Inc.",Rackspace,Rocket Ship,21.7,1,531.93,376.4977,Network / Infrastructure/ EAI,RAX,1998,2007
10,"Rackspace Hosting, Inc.",Rackspace,Rocket Ship,21.7,1,531.93,531.9,Network / Infrastructure/ EAI,RAX,1998,2008
0,OpenTV Corp.,OpenTV,Rocket Ship,9.61,1,116.47,1.3845,Operating Systems,OPTV,1996,1996
1,OpenTV Corp.,OpenTV,Rocket Ship,9.61,1,116.47,9.3251,Operating Systems,OPTV,1996,1997
2,OpenTV Corp.,OpenTV,Rocket Ship,9.61,1,116.47,12.4978,Operating Systems,OPTV,1996,1998
3,OpenTV Corp.,OpenTV,Rocket Ship,9.61,1,116.47,7.8285,Operating Systems,OPTV,1996,1999
4,OpenTV Corp.,OpenTV,Rocket Ship,9.61,1,116.47,21.7707,Operating Systems,OPTV,1996,2000
5,OpenTV Corp.,OpenTV,Rocket Ship,9.61,1,116.47,106.018,Operating Systems,OPTV,1996,2001
0,Check Point Software Technologies Ltd.,Checkpoint,Rocket Ship,323.97,1,808.49,0,Security,CHKP,1993,1993
